iter	Passed	Remaining
0	2	2041
1	3	1980
2	5	1905
3	7	1871
4	9	1859
5	11	1844
6	13	1847
7	14	1854
8	16	1861
9	18	1857
10	20	1846
11	22	1835
12	24	1835
13	26	1840
14	28	1845
15	29	1844
16	31	1838
17	33	1838
18	35	1836
19	37	1837
20	39	1835
21	41	1835
22	42	1825
23	44	1821
24	46	1815
25	48	1813
26	50	1814
27	52	1811
28	53	1802
29	55	1799
30	57	1794
31	59	1793
32	61	1793
33	62	1789
34	64	1787
35	66	1793
36	68	1787
37	70	1787
38	72	1785
39	73	1766
40	75	1764
41	77	1767
42	79	1765
43	81	1763
44	82	1760
45	84	1760
46	86	1758
47	88	1758
48	90	1757
49	92	1756
50	94	1753
51	96	1751
52	97	1748
53	99	1744
54	101	1743
55	103	1741
56	105	1740
57	107	1739
58	108	1737
59	110	1733
60	112	1734
61	114	1731
62	116	1731
63	118	1733
64	120	1732
65	122	1734
66	124	1735
67	126	1733
68	128	1731
69	130	1728
70	132	1728
71	133	1726
72	135	1724
73	137	1724
74	139	1722
75	141	1721
76	143	1720
77	145	1721
78	147	1718
79	149	1715
80	151	1715
81	153	1719
82	155	1718
83	157	1721
84	160	1723
85	162	1724
86	164	1725
87	166	1726
88	168	1726
89	170	1726
90	172	1724
91	174	1722
92	176	1725
93	179	1726
94	181	1725
95	183	1727
96	185	1725
97	187	1723
98	189	1721
99	190	1718
100	193	1719
101	195	1720
102	197	1718
103	199	1717
104	201	1716
105	203	1714
106	205	1712
107	207	1714
108	209	1715
109	211	1713
110	213	1711
111	215	1708
112	217	1707
113	219	1705
114	221	1705
115	223	1706
116	225	1704
117	228	1704
118	229	1702
119	231	1699
120	233	1697
121	235	1694
122	237	1693
123	239	1693
124	241	1690
125	243	1688
126	245	1686
127	247	1685
128	249	1684
129	251	1683
130	253	1681
131	255	1678
132	257	1677
133	259	1675
134	261	1673
135	263	1670
136	265	1669
137	266	1666
138	268	1665
139	270	1663
140	272	1661
141	274	1660
142	276	1659
143	278	1657
144	280	1655
145	282	1653
146	284	1652
147	286	1649
148	288	1647
149	290	1644
150	292	1642
151	294	1641
152	296	1640
153	298	1638
154	300	1636
155	301	1633
156	303	1631
157	305	1629
158	307	1628
159	310	1627
160	311	1625
161	313	1623
162	315	1620
163	317	1619
164	319	1619
165	322	1617
166	323	1615
167	325	1613
168	327	1612
169	329	1610
170	331	1608
171	333	1607
172	335	1606
173	338	1605
174	340	1604
175	342	1602
176	344	1601
177	346	1600
178	348	1598
179	350	1595
180	352	1593
181	354	1591
182	356	1590
183	358	1588
184	360	1586
185	362	1584
186	363	1582
187	365	1580
188	367	1577
189	369	1576
190	371	1575
191	374	1574
192	375	1571
193	377	1569
194	379	1567
195	381	1565
196	383	1564
197	386	1564
198	388	1562
199	390	1560
200	391	1558
201	393	1555
202	396	1554
203	397	1552
204	399	1551
205	402	1549
206	404	1548
207	406	1546
208	408	1545
209	410	1543
210	412	1542
211	414	1541
212	416	1539
213	418	1538
214	420	1537
215	423	1535
216	425	1533
217	427	1532
218	429	1530
219	431	1529
220	433	1527
221	435	1525
222	437	1523
223	439	1521
224	441	1520
225	443	1518
226	445	1517
227	447	1515
228	449	1514
229	451	1512
230	453	1509
231	455	1508
232	457	1506
233	459	1504
234	461	1503
235	464	1502
236	466	1500
237	467	1498
238	469	1496
239	471	1494
240	473	1492
241	476	1491
242	478	1490
243	480	1488
244	482	1486
245	484	1484
246	486	1482
247	489	1482
248	491	1481
249	493	1479
250	494	1475
251	496	1473
252	498	1471
253	500	1470
254	502	1468
255	504	1466
256	506	1465
257	508	1463
258	510	1461
259	513	1460
260	515	1459
261	517	1457
262	519	1456
263	521	1454
264	523	1452
265	525	1450
266	527	1448
267	529	1447
268	531	1445
269	533	1443
270	535	1441
271	538	1440
272	540	1438
273	542	1436
274	544	1434
275	546	1432
276	548	1430
277	550	1428
278	552	1427
279	554	1425
280	556	1422
281	558	1420
282	560	1418
283	561	1416
284	563	1414
285	565	1412
286	567	1410
287	569	1408
288	571	1406
289	573	1404
290	575	1401
291	577	1399
292	579	1397
293	581	1395
294	583	1394
295	585	1392
296	587	1390
297	589	1387
298	591	1385
299	593	1384
300	595	1382
301	597	1380
302	599	1378
303	601	1376
304	603	1374
305	605	1372
306	607	1370
307	609	1368
308	611	1366
309	613	1364
310	615	1362
311	617	1360
312	618	1358
313	620	1356
314	622	1353
315	624	1351
316	626	1349
317	628	1347
318	630	1345
319	632	1343
320	634	1341
321	635	1339
322	637	1336
323	639	1334
324	641	1332
325	643	1330
326	645	1328
327	647	1326
328	649	1324
329	651	1322
330	653	1319
331	655	1318
332	657	1316
333	659	1314
334	660	1311
335	663	1310
336	665	1308
337	666	1306
338	668	1303
339	670	1301
340	672	1299
341	674	1297
342	676	1294
343	677	1292
344	679	1290
345	681	1288
346	683	1286
347	685	1284
348	687	1282
349	689	1280
350	691	1277
351	692	1275
352	694	1273
353	696	1270
354	698	1268
355	700	1266
356	702	1264
357	703	1262
358	705	1260
359	707	1258
360	709	1255
361	711	1253
